JOSHUA PROJECT PEOPLES DATA

ROG3,Ctry,PeopleID3,ROP3,PeopNameAcrossCountries,PeopNameInCountry,Population,JPScale,LeastReached,ROL3,PrimaryLanguageName,BibleStatus,RLG3,PrimaryReligion,PercentAdherents,PercentEvangelical,PeopleID1,ROP1,AffinityBloc,PeopleID2,ROP2,PeopleCluster,CountOfCountries,RegionCode,RegionName,ROG2,Continent,10_40Window,RaceCode,Latitude,Longitude,WorkersMin,WorkersMax
AF,Afghanistan,14372,107989,Afghan,Afghan,8207000,1,Y,prs,Dari,4,6,Islam,0.01,0.01,14,A005,Persian-Median,268,C0179,Persian,2,5,"Central Asia",ASI,Asia,Y,CNT24f,31.15621,62.14612,165,170
AF,Afghanistan,19409,100096,Afshari,Afshari,13000,1,Y,azb,"Azerbaijani, South",4,6,Islam,0.0399999991059303,0.0399999991059303,24,A015,"Turkic Peoples",126,C0028,Azerbaijani,2,5,"Central Asia",ASI,Asia,Y,MSY41a,34.447959999954,69.2897600000239,1,2
AF,Afghanistan,11308,102027,"Aimaq, Char","Aimaq, Char",300000,1,Y,aiq,Aimaq,1,6,Islam,0,0,14,A005,Persian-Median,105,C0007,Aimaq,1,5,"Central Asia",ASI,Asia,Y,CNT24z,34.2701,64.62116,6,8
AF,Afghanistan,10198,100150,"Aimaq, Firozkohi","Aimaq, Firozkohi",297000,1,Y,aiq,Aimaq,1,6,Islam,0,0,14,A005,Persian-Median,105,C0007,Aimaq,1,5,"Central Asia",ASI,Asia,Y,CNT24z,34.27009,64.62116,6,8
AF,Afghanistan,10199,100151,"Aimaq, Hazara","Aimaq, Hazara",232000,1,Y,aiq,Aimaq,1,6,Islam,0,0,14,A005,Persian-Median,105,C0007,Aimaq,1,5,"Central Asia",ASI,Asia,Y,CNT24z,34.27012,64.62116,5,6
AF,Afghanistan,10200,100152,"Aimaq, Jamshidi","Aimaq, Jamshidi",132000,1,Y,aiq,Aimaq,1,6,Islam,0,0,14,A005,Persian-Median,105,C0007,Aimaq,2,5,"Central Asia",ASI,Asia,Y,CNT24z,34.27003,64.62116,3,4
AF,Afghanistan,10201,100153,"Aimaq, Taimani","Aimaq, Taimani",595000,1,Y,aiq,Aimaq,1,6,Islam,0,0,14,A005,Persian-Median,105,C0007,Aimaq,1,5,"Central Asia",ASI,Asia,Y,CNT24z,34.27007,64.6211599996342,12,15
AF,Afghanistan,10202,100154,"Aimaq, Timuri","Aimaq, Timuri",149000,1,Y,aiq,Aimaq,1,6,Islam,0.0199999995529652,0,14,A005,Persian-Median,105,C0007,Aimaq,2,5,"Central Asia",ASI,Asia,Y,CNT24z,34.27014,64.62116,3,4
AF,Afghanistan,15741,110448,"Americans, U.S.","Americans, U.S.",12000,5,N,eng,English,4,1,Christianity,84.5,30,18,A009,"North American Peoples",109,C0011,Anglo-American,104,5,"Central Asia",ASI,Asia,Y,CEW19s,34.528621,69.168549,1,2
AF,Afghanistan,16221,111334,Ansari,Ansari,2200,1,Y,urd,Urdu,4,6,Islam,0,0,21,A012,"South Asian Peoples",312,C0224,"Urdu Muslim",5,5,"Central Asia",ASI,Asia,Y,CNN25r,34.5477699999855,69.3198000003697,1,2
AF,Afghanistan,15202,109734,"Arab, Tajiki","Arab, Tajiki",16000,1,Y,abh,"Arabic, Tajiki Spoken",0,6,Islam,0.200000002980232,0.2,10,A001,"Arab World",324,C0237,"Arab World, general",2,5,"Central Asia",ASI,Asia,Y,CMT30,36.9447,66.80422,1,2
AF,Afghanistan,16239,111360,"Arora (Hindu traditions)","Arora (Hindu traditions)",1400,1,Y,skr,Saraiki,3,5,Hinduism,0,0,21,A012,"South Asian Peoples",187,C0091,Hindi,3,5,"Central Asia",ASI,Asia,Y,CNN25n,36.187213,70.98060599999999,1,2
AF,Afghanistan,15356,110770,"Baloch, Western","Baloch, Western",415000,1,Y,bgn,"Balochi, Western",2,6,Islam,0.00999999977648258,0.00999999977648258,14,A005,Persian-Median,129,C0031,Baloch,3,5,"Central Asia",ASI,Asia,Y,CNT24b,30.24139,63.20176,9,11
AF,Afghanistan,19423,115168,"Bania (Muslim traditions)","Bania (Muslim traditions)",5700,1,Y,urd,Urdu,4,6,Islam,0.230000004172325,0.2,21,A012,"South Asian Peoples",281,C0192,Sindhi,1,5,"Central Asia",ASI,Asia,Y,CNN25#,34.375787,69.435276,1,2
AF,Afghanistan,16521,111696,Brahmin,Brahmin,3300,1,Y,urd,Urdu,4,5,Hinduism,0,0,21,A012,"South Asian Peoples",187,C0091,Hindi,7,5,"Central Asia",ASI,Asia,Y,CNN25g,34.294237,69.39251899999999,1,2
AF,Afghanistan,10959,101653,Brahui,"Brahui, Kur Galli",286000,1,Y,brh,Brahui,3,6,Islam,0.100000001490116,0.1,21,A012,"South Asian Peoples",261,C0172,"South Asian, other",4,5,"Central Asia",ASI,Asia,Y,CNN23z,30.0908,64.73688,6,8
AF,Afghanistan,11140,102927,British,British,1000,4,N,eng,English,4,1,Christianity,72,6,12,A003,"Eurasian Peoples",110,C0012,Anglo-Celt,130,5,"Central Asia",ASI,Asia,Y,CEW19,34.53312,69.190864,1,2
AF,Afghanistan,16585,111780,Changar,Changar,2700,1,Y,urd,Urdu,4,6,Islam,0,0,21,A012,"South Asian Peoples",272,C0183,Punjabi,3,5,"Central Asia",ASI,Asia,Y,CNN25o,34.470761,69.633613,1,2
AF,Afghanistan,19437,104950,Chitrali,"Chitrali, Kho",8900,1,Y,khw,Khowar,1,6,Islam,0,0,21,A012,"South Asian Peoples",261,C0172,"South Asian, other",2,5,"Central Asia",ASI,Asia,Y,CNN23#,36.653176,70.212641,1,2
AF,Afghanistan,11510,102467,Darwazi,"Darwazi, Badakhshani",14000,1,Y,prs,Dari,4,6,Islam,0,0,14,A005,Persian-Median,299,C0211,Tajik,1,5,"Central Asia",ASI,Asia,Y,CNT24z,38.05962,70.72609,1,2
AF,Afghanistan,19007,114916,Deaf,Deaf,,1,Y,afg,"Afghan Sign Language",1,6,Islam,0.05,0,26,A017,Deaf,328,C0252,Deaf,216,5,"Central Asia",ASI,Asia,Y,,34.532499999975,69.1366059996671,1,2
AF,Afghanistan,12741,105087,"Garwi, Kohistani","Garwi, Kohistani",1700,1,Y,gwc,Kalami,1,6,Islam,0,0,21,A012,"South Asian Peoples",201,C0107,Kashmiri,1,5,"Central Asia",ASI,Asia,Y,CNN25i,35.012132091223,71.448485211923,1,2
AF,Afghanistan,11871,103305,German,German,2600,4,N,deu,"German, Standard",4,1,Christianity,78,5,12,A003,"Eurasian Peoples",175,C0079,Germanic,81,5,"Central Asia",ASI,Asia,Y,CEW19m,34.5502,69.1707,1,2
AF,Afghanistan,18693,103535,"Guhjali, Wakhi","Guhjali, Wakhi",18000,1,Y,wbl,Wakhi,2,6,Islam,0,0,14,A005,Persian-Median,299,C0211,Tajik,4,5,"Central Asia",ASI,Asia,Y,CNT24z,36.96537,72.85093999999999,1,2
AF,Afghanistan,17549,112971,"Gujar (Muslim traditions)","Gujar (Muslim traditions)",3700,1,Y,gju,Gujari,1,6,Islam,0.0299999993294477,0.0299999993294477,21,A012,"South Asian Peoples",272,C0183,Punjabi,3,5,"Central Asia",ASI,Asia,Y,CNN25o,35.24842,71.48793000000001,1,2
AF,Afghanistan,12076,103743,Hazara,Hazara,2945000,1,Y,haz,Hazaragi,1,6,Islam,0.0299999993294477,0.0299999993294477,24,A015,"Turkic Peoples",313,C0225,Uyghur,6,5,"Central Asia",ASI,Asia,Y,MSY41z,34.3503899997986,66.94109000040319,59,64
AF,Afghanistan,18369,113939,"Indus Kohistani, Galo","Indus Kohistani",41000,1,Y,mvy,"Kohistani, Indus",1,6,Islam,0,0,21,A012,"South Asian Peoples",201,C0107,Kashmiri,1,5,"Central Asia",ASI,Asia,Y,CNN25i,34.204284,69.45316,1,2
AF,Afghanistan,20542,116135,Ishkashimi,Ishkashimi,2800,1,Y,isk,Ishkashimi,0,6,Islam,0,0,14,A005,Persian-Median,299,C0211,Tajik,2,5,"Central Asia",ASI,Asia,Y,CNT24z,36.71347,71.563232,1,2
AF,Afghanistan,12273,104096,Italian,Italian,1700,3,N,ita,Italian,4,1,Christianity,77,0.200000002980232,12,A003,"Eurasian Peoples",193,C0098,Italian,61,5,"Central Asia",ASI,Asia,Y,CEW21e,34.5507,69.1717,1,2
AF,Afghanistan,12526,104638,Karakalpak,Karakalpak,2900,1,Y,kaa,Karakalpak,3,6,Islam,0,0,24,A015,"Turkic Peoples",202,C0108,Kazakh,8,5,"Central Asia",ASI,Asia,Y,MSY41s,36.66888,67.10763,1,2
AF,Afghanistan,12599,104791,Kazakh,Kazakh,2900,1,Y,kaz,Kazakh,4,6,Islam,0,0,24,A015,"Turkic Peoples",202,C0108,Kazakh,24,5,"Central Asia",ASI,Asia,Y,MSY41e,36.69403,69.12300999999999,1,2
AF,Afghanistan,18125,113631,"Khatri (Sikh traditions)","Khatri (Sikh traditions)",2400,1,Y,pan,"Punjabi, Eastern",4,8,"Other / Small",0,0,21,A012,"South Asian Peoples",272,C0183,Punjabi,2,5,"Central Asia",ASI,Asia,Y,CNN25n,34.321458,69.14323,1,2
AF,Afghanistan,11126,101922,"Kurd, Central","Kurd, Central",239000,1,Y,ckb,"Kurdish, Central",4,6,Islam,0.00999999977648258,0.00999999977648258,14,A005,Persian-Median,208,C0114,Kurd,5,5,"Central Asia",ASI,Asia,Y,CNT24c,34.5155000002248,69.1952000001799,5,6
AF,Afghanistan,12933,105550,Kyrgyz,Kyrgyz,1100,1,Y,kir,Kyrgyz,4,6,Islam,0,0,24,A015,"Turkic Peoples",204,C0110,Kyrgyz,12,5,"Central Asia",ASI,Asia,Y,MSY41g,37.0646400004356,74.2469200001578,1,2
AF,Afghanistan,13761,106706,Moghal,Moghal,2000,1,Y,prs,Dari,4,6,Islam,0,0,21,A012,"South Asian Peoples",312,C0224,"Urdu Muslim",5,5,"Central Asia",ASI,Asia,Y,CNN25r,34.2362626084326,62.2759217832636,1,2
AF,Afghanistan,13878,106912,Munji,Munji,6200,1,Y,mnj,Munji,1,6,Islam,0,0,21,A012,"South Asian Peoples",201,C0107,Kashmiri,1,5,"Central Asia",ASI,Asia,Y,CNT24z,35.79309,70.85744,1,2
AF,Afghanistan,17714,113164,Mussali,Mussali,2900,1,Y,pan,"Punjabi, Eastern",4,6,Islam,0,0,21,A012,"South Asian Peoples",272,C0183,Punjabi,3,5,"Central Asia",ASI,Asia,Y,CNN25n,34.422154,69.09527199999999,1,2
AF,Afghanistan,11835,103257,"Narisati, Arandui","Narisati, Arandui",14000,1,Y,gwt,Gawar-Bati,1,6,Islam,0,0,21,A012,"South Asian Peoples",201,C0107,Kashmiri,1,5,"Central Asia",ASI,Asia,Y,CNN25i,35.22045,71.53814,1,2
AF,Afghanistan,10453,100556,"Nuristani, Ashkuni","Nuristani, Ashkuni",43000,1,Y,ask,Ashkun,1,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Central Asia",ASI,Asia,Y,CNT24d,35.11697,70.59229999999999,1,2
AF,Afghanistan,10703,101097,"Nuristani, Bashgali, Kati","Nuristani, Bashgali, Kati",30000,1,Y,bsh,Kati,1,6,Islam,0.100000001490116,0,14,A005,Persian-Median,251,C0159,Nuristan,2,5,"Central Asia",ASI,Asia,Y,CNT24d,35.48049,70.75245,1,2
AF,Afghanistan,11936,103472,"Nuristani, Grangali","Nuristani, Grangali",10000,1,Y,nli,Grangali,1,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Central Asia",ASI,Asia,Y,CNT24d,34.87613,70.70943,1,2
AF,Afghanistan,12482,104545,"Nuristani, Kamviri","Nuristani, Kamviri",19000,1,Y,xvi,Kamviri,1,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Central Asia",ASI,Asia,Y,CNT24d,35.40963,71.32342,1,2
AF,Afghanistan,13431,106126,"Nuristani, Malakhel","Nuristani, Malakhel",2900,1,Y,prs,Dari,4,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Central Asia",ASI,Asia,Y,CNT24d,34.13174,69.01918000000001,1,2
AF,Afghanistan,14461,108147,"Nuristani, Prasuni","Nuristani, Prasuni",8600,1,Y,prn,Prasuni,1,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Central Asia",ASI,Asia,Y,CNT24d,35.4495,70.92815,1,2
AF,Afghanistan,15575,110188,"Nuristani, Tregami","Nuristani, Tregami",3700,1,Y,trm,Tregami,1,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Central Asia",ASI,Asia,Y,CNT24d,35.0073,71.11978999999999,1,2
AF,Afghanistan,15735,110432,"Nuristani, Urmuri","Nuristani, Urmuri",2900,1,Y,pbt,"Pashto, Southern",2,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Central Asia",ASI,Asia,Y,CNT24d,32.774820000043,68.91851000013639,1,2
AF,Afghanistan,15822,110623,"Nuristani, Waigeli","Nuristani, Waigeli",12000,1,Y,wbk,Waigali,1,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Central Asia",ASI,Asia,Y,CNT24d,35.17784,71.05953,1,2
AF,Afghanistan,14255,107747,Pahlavani,Pahlavani,3300,1,Y,prs,Dari,4,6,Islam,0,0,14,A005,Persian-Median,268,C0179,Persian,1,5,"Central Asia",ASI,Asia,Y,CNT24f,31.33334,62.19879,1,2
AF,Afghanistan,14311,107875,Parachi,Parachi,7200,1,Y,prc,Parachi,0,6,Islam,0,0,14,A005,Persian-Median,267,C0178,Pashtun,1,5,"Central Asia",ASI,Asia,Y,CNT24a,35.07936,69.64313,1,2
